mode,coverage,decision_rate,abstention_rate,selective_precision,selective_recall,false_negative_risk,false_positive_pass_through_rate,review_burden_reduction,confirmed_true_positive_rate,utility_score,coverage_ci95_low,coverage_ci95_high,selective_precision_ci95_low,selective_precision_ci95_high,selective_recall_ci95_low,selective_recall_ci95_high,utility_score_ci95_low,utility_score_ci95_high
sast_only,1.0000,1.0000,0.0000,0.6083,1.0000,0.0000,1.0000,1.0000,1.0000,-0.1750,1.0000,1.0000,0.5625,0.6500,1.0000,1.0000,-0.3125,-0.0500
rule_based_filtering,0.2125,0.2125,0.7875,0.8431,0.2945,0.0000,0.0851,0.2125,0.2945,-0.0844,0.1792,0.2521,0.7629,0.9134,0.2439,0.3442,-0.1391,-0.0297
llm_only_stub,0.4437,0.4437,0.5563,0.8517,0.6096,0.0000,0.1649,0.4437,0.6096,0.1109,0.3979,0.4896,0.8048,0.8986,0.5552,0.6701,0.0411,0.1844
heimdall_full_pipeline_stub,0.3333,0.3333,0.6667,0.0000,0.0000,0.3288,0.0000,0.3333,0.0000,-0.2333,0.2938,0.3750,0.0000,0.0000,0.0000,0.0000,-0.2849,-0.1807
heimdall_dry_run_mock,0.3333,0.3333,0.6667,0.0000,0.0000,0.3288,0.0000,0.3333,0.0000,-0.2333,0.2917,0.3708,0.0000,0.0000,0.0000,0.0000,-0.2818,-0.1854
heimdall_active_local_validation,0.2833,0.2833,0.7167,1.0000,0.3151,0.0000,0.0000,0.2833,0.3151,0.1042,0.2458,0.3250,1.0000,1.0000,0.2671,0.3697,0.0573,0.1562
heimdall_gpt41mini_reasoning_ablation,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2500,-0.2500
